step,market,agent_type,agent_id,quantity,price
1,labor,seller,19,1,1
1,labor,seller,12,1,1
1,labor,seller,15,1,1
1,labor,seller,7,1,1
1,labor,seller,9,1,1
1,labor,seller,2,1,1
1,labor,seller,1,1,1
1,labor,seller,16,1,1
1,labor,seller,17,1,1
1,labor,seller,11,1,1
1,labor,seller,13,1,1
1,labor,seller,0,1,1
1,labor,seller,8,1,1
1,labor,seller,3,1,1
1,labor,seller,10,1,1
1,labor,seller,14,1,1
1,labor,seller,4,1,1
1,labor,seller,5,1,1
1,labor,seller,6,1,1
1,labor,seller,18,1,1
2,capital,seller,20,20,0.8
2,capital,seller,21,20,0.8
3,consumption,seller,23,20,0.8
3,consumption,seller,25,20,0.8
3,consumption,seller,22,20,0.8
3,consumption,seller,24,20,0.8
4,labor,seller,7,1,1
4,labor,seller,2,1,1
4,labor,seller,16,1,1
4,labor,seller,19,1,1
4,labor,seller,8,1,1
4,labor,seller,15,1,1
4,labor,seller,9,1,1
4,labor,seller,10,1,1
4,labor,seller,3,1,1
4,labor,seller,11,1,1
4,labor,seller,14,1,1
4,labor,seller,0,1,1
4,labor,seller,17,1,1
4,labor,seller,13,1,1
4,labor,seller,1,1,1
4,labor,seller,12,1,1
4,labor,seller,18,1,1
4,labor,seller,6,1,1
4,labor,seller,4,1,1
5,capital,seller,20,20,0.6400000000000001
5,capital,seller,21,20,0.6400000000000001
6,consumption,seller,24,11.399999999999999,0.6400000000000001
6,consumption,seller,26,1.6206565966927624,0.96
7,labor,seller,11,1,1
7,labor,seller,10,1,1
7,labor,seller,8,1,1
7,labor,seller,2,1,1
7,labor,seller,13,1,1
7,labor,seller,0,1,1
7,labor,seller,12,1,1
7,labor,seller,17,1,1
7,labor,seller,14,1,1
7,labor,seller,7,1,1
7,labor,seller,9,1,1
7,labor,seller,19,1,1
7,labor,seller,1,1,1
7,labor,seller,4,1,1
7,labor,seller,16,1,1
7,labor,seller,18,1,1
8,capital,seller,20,20,0.5120000000000001
8,capital,seller,21,20,0.5120000000000001
9,consumption,buyer,3,4.976717016536194,24.48
9,consumption,buyer,6,24.48,24.48
9,consumption,buyer,15,24.48,24.48
9,consumption,buyer,11,1,24.48
9,consumption,buyer,10,1,24.48
9,consumption,buyer,8,1,24.48
9,consumption,buyer,2,1,24.48
9,consumption,buyer,13,1,24.48
9,consumption,buyer,0,1,24.48
9,consumption,buyer,12,1,24.48
9,consumption,buyer,17,1,24.48
9,consumption,buyer,7,1,24.48
9,consumption,buyer,9,1,24.48
9,consumption,buyer,19,1,24.48
9,consumption,buyer,1,1,24.48
9,consumption,buyer,4,1,24.48
9,consumption,buyer,16,1,24.48
9,consumption,buyer,18,1,24.48
9,consumption,buyer,14,1,24.479999999999997
10,labor,seller,6,1,0
10,labor,seller,15,1,0
10,labor,seller,5,1,0
10,labor,seller,3,1,0
10,labor,seller,9,1,1
10,labor,seller,19,1,1
10,labor,seller,7,1,1
10,labor,seller,8,1,1
10,labor,seller,18,1,1
10,labor,seller,0,1,1
10,labor,seller,12,1,1
10,labor,seller,4,1,1
10,labor,seller,16,1,1
10,labor,seller,11,1,1
