step,market,buyer,seller,quantity,price
2,labor,26,5,1,504.49999999999983
3,labor,22,5,1,251.20000000000002
3,labor,25,3,1,251.70000000000002
3,labor,23,6,1,251.70000000000002
3,labor,24,15,1,108.51600000000003
5,labor,26,5,1,261.97958443832465
5,labor,24,15,1,135.94438443832473
5,labor,22,6,1,135.82958443832473
5,labor,25,3,1,135.57958443832473
5,labor,23,0,1,136.07958443832473
1,consumption,19,26,1,50.4
1,consumption,12,26,1,50.4
1,consumption,15,26,1,50.4
1,consumption,7,26,1,50.4
1,consumption,9,26,1,50.4
1,consumption,2,26,1,50.4
1,consumption,1,26,1,50.4
1,consumption,16,26,1,50.4
1,consumption,17,26,1,50.4
1,consumption,11,26,1,50.4
1,consumption,13,26,1,50.4
1,consumption,0,26,1,50.4
1,consumption,8,26,1,50.4
1,consumption,3,26,1,50.4
1,consumption,10,26,1,50.4
1,consumption,14,26,1,50.4
1,consumption,4,26,1,50.4
1,consumption,5,26,1,50.4
1,consumption,6,26,1,50.4
1,consumption,18,26,1,50.4
2,consumption,5,22,20,25.12
2,consumption,5,23,20,25.12
2,consumption,5,25,9.600000000000001,25.12
2,consumption,7,25,1,25.12
2,consumption,2,25,1,25.12
2,consumption,16,25,1,25.12
2,consumption,19,25,1,25.12
2,consumption,8,25,1,25.12
2,consumption,15,25,1,25.12
2,consumption,9,25,1,25.12
2,consumption,10,25,1,25.12
2,consumption,3,25,1,25.12
2,consumption,11,25,1,25.12
2,consumption,14,25,0.3999999999999986,25.12
2,consumption,14,24,0.6000000000000014,25.12
2,consumption,0,24,1,25.12
2,consumption,17,24,1,25.12
2,consumption,13,24,1,25.12
2,consumption,1,24,1,25.12
2,consumption,12,24,1,25.12
2,consumption,18,24,1,25.12
2,consumption,6,24,1,25.12
2,consumption,4,24,1,25.12
3,consumption,3,26,1.6206565966927624,12.624
3,consumption,3,22,1.6206565966927624,12.624
3,consumption,3,25,1.6206565966927624,12.624
3,consumption,3,23,1.6206565966927624,12.624
3,consumption,3,24,13.020656596692762,12.624
5,consumption,0,26,1.3930916416759864,12.60864
5,consumption,0,24,1.3930916416759864,12.608640000000001
5,consumption,0,25,1.3930916416759864,12.608640000000001
5,consumption,0,22,1.3930916416759864,12.608640000000001
5,consumption,0,23,1.3930916416759864,12.608640000000001
