budget,current_labor,expected_price,wage,optimal_production,optimal_labor,optimal_capital,optimal_price
2,0,0.4,1.0,1.673288141730696e-06,1.0315721311069688e-06,5.1729312825984294e-06,0.4
2,0,0.4,1.5,1.641205674127712e-06,1.0088421051751896e-06,5.108450992372256e-06,0.4
2,0,0.4,2.0,1.6317569160627223e-06,1.0021513130829607e-06,5.089484997478713e-06,0.4
2,0,0.56,1.0,1.908993720148017e-06,1.0790599897631652e-06,7.2261774248436e-06,0.56
2,0,0.56,1.5,1.8058639354855035e-06,1.0151333225999591e-06,6.924624345715942e-06,0.56
2,0,0.56,2.0,1.788703747075993e-06,1.0045000870603376e-06,6.87455785965298e-06,0.56
2,0,0.72,1.0,3.862331365407489e-06,2.0772580371938017e-06,1.641927762754688e-05,0.72
2,0,0.72,1.5,1.9819891350188494e-06,1.0306792085487699e-06,9.114147001779674e-06,0.72
2,0,0.72,2.0,1.9424492276119637e-06,1.0086447958439323e-06,8.962785291742613e-06,0.72
2,0,0.88,1.0,3.1645701130995985,1.9307898040670965,10.023069647869688,0.88
2,0,0.88,1.5,2.2822454388545324e-06,1.1114992828160798e-06,1.222981034396964e-05,0.88
2,0,0.88,2.0,2.0979387804295227e-06,1.0173355100837845e-06,1.1356022062353385e-05,0.88
2,0,1.04,1.0,4.0216849999776105,2.7516385191331065,9.749453754049714,1.04
2,0,1.04,1.5,7.5060915590929e-06,3.5762025495837086e-06,4.2337766069752675e-05,1.04
2,0,1.04,2.0,2.231275762780153e-06,1.0337610992428505e-06,1.3433743764555461e-05,1.04
2,0,1.2,1.0,4.0216849999776105,2.7516385191331065,9.749453754049714,1.2
2,0,1.2,1.5,7.5060915590929e-06,3.5762025495837086e-06,4.2337766069752675e-05,1.2
2,0,1.2,2.0,2.231275762780153e-06,1.0337610992428505e-06,1.3433743764555461e-05,1.2
2,1,0.4,1.0,3.0508238246235023e-06,2.0158164573284367e-06,8.023023954151357e-06,0.4
2,1,0.4,1.5,1.6915041274328106e-06,1.044485884686667e-06,5.20959781971043e-06,0.4
2,1,0.4,2.0,1.6471669266560124e-06,1.0130641502965535e-06,5.120422822106827e-06,0.4
2,1,0.56,1.0,5.0335979522151,3.85469638432688,9.381767566886817,0.56
2,1,0.56,1.5,2.028496344245674e-06,1.153173249123735e-06,7.576933221182519e-06,0.56
2,1,0.56,2.0,1.8188856049301226e-06,1.02320302355017e-06,6.9626364339203305e-06,0.56
2,1,0.72,1.0,7.1253868776326685,6.619920260704805,8.460026619264534,0.72
2,1,0.72,1.5,2.567293331588275,1.4366732870757575,9.948316724303517,0.72
2,1,0.72,2.0,2.0278376120519684e-06,1.0562289275586298e-06,9.289844524680401e-06,0.72
2,1,0.88,1.0,8.676565588690442,9.179987589004135,7.606670907848208,0.88
2,1,0.88,1.5,3.666769996782676,2.44448383194407,9.444424568797963,0.88
2,1,0.88,2.0,3.286762318817195e-06,1.62414423769347e-06,1.7025646341067775e-05,0.88
2,1,1.04,1.0,9.508955108804344,10.79871774495695,7.067094209520101,1.04
2,1,1.04,1.5,4.456939939114174,3.2948596553173184,9.019236830431252,1.04
2,1,1.04,2.0,2.1745497485608656,1.135193646171246,9.909869572972449,1.04
2,1,1.2,1.0,9.508955108804344,10.79871774495695,7.067094209520101,1.2
2,1,1.2,1.5,4.456939939114174,3.2948596553173184,9.019236830431252,1.2
2,1,1.2,2.0,2.1745497485608656,1.135193646171246,9.909869572972449,1.2
2,2,0.4,1.0,5.757305891962439,4.73415954857888,9.088612865372845,0.4
2,2,0.4,1.5,2.2657032327177978e-06,1.4535784433780858e-06,6.382443106478215e-06,0.4
2,2,0.4,2.0,1.7250244583198038e-06,1.0682635028491344e-06,5.277172301106139e-06,0.4
2,2,0.56,1.0,8.479682940927802,8.825338834220712,7.7248870973410275,0.56
2,2,0.56,1.5,3.890254433118942,2.674048721535463,9.329641383973849,0.56
2,2,0.56,2.0,2.459907496664381e-06,1.4208922212437747e-06,8.852921252404003e-06,0.56
2,2,0.72,1.0,9.99996545114466,11.863014037927165,6.712328763443573,0.72
2,2,0.72,1.5,5.466816891822194,4.5495272730541325,8.391903005667366,0.72
2,2,0.72,2.0,3.092206581619666,1.9213704518075931,9.385752183050341,0.72
2,2,0.88,1.0,9.999999354141387,11.863091038320436,6.7123030961764245,0.88
2,2,0.88,1.5,6.619330794019901,6.261459608014982,7.535936939846968,0.88
2,2,0.88,2.0,4.120157779628552,2.9953316611792236,8.669778825574312,0.88
2,2,1.04,1.0,9.999999709554928,11.863091844206185,6.7123028275381404,1.04
2,2,1.04,1.5,7.232280459194662,7.334417366702796,6.9994580898883925,1.04
2,2,1.04,2.0,4.764472515701384,3.786838852314141,8.142107464234742,1.04
2,2,1.2,1.0,9.999999709554928,11.863091844206185,6.7123028275381404,1.2
2,2,1.2,1.5,7.232280459194662,7.334417366702796,6.9994580898883925,1.2
2,2,1.2,2.0,4.764472515701384,3.786838852314141,8.142107464234742,1.2
2,3,0.4,1.0,8.262849384985085,8.445706493201401,7.851431104799112,0.4
2,3,0.4,1.5,1.4088766578987972e-05,9.905347924212494e-06,3.205387445315349e-05,0.4
2,3,0.4,2.0,2.2024836429804735e-06,1.4084007104413139e-06,6.251934553384468e-06,0.4
2,3,0.56,1.0,9.999996723737373,11.863085088533168,6.712305049461896,0.56
2,3,0.56,1.5,5.986579010652941,5.279482564958078,8.026925316666068,0.56
2,3,0.56,2.0,3.6216753657062033,2.4477198965651406,9.03485224978962,0.56
2,3,0.72,1.0,9.999999496610322,11.863091391937692,6.712302948166501,0.72
2,3,0.72,1.5,7.2722656760143085,7.409463920629434,6.96193478002425,0.72
2,3,0.72,2.0,4.895508490694343,3.9607675202189836,8.026154939101888,0.72
2,3,0.88,1.0,9.999999952444,11.86309242541738,6.712302603663,0.88
2,3,0.88,1.5,8.004326716879607,8.928991459358693,6.202171050729036,0.88
2,3,0.88,2.0,5.76109355572689,5.245596275639898,7.169602548046847,0.88
2,3,1.04,1.0,10.000000131614957,11.863092831624277,6.71230246825357,1.04
2,3,1.04,1.5,8.34506698165515,9.764346344642332,5.784493622592648,1.04
2,3,1.04,2.0,6.201877008437376,6.017165340892869,6.655223203622707,1.04
2,3,1.2,1.0,10.000000131614957,11.863092831624277,6.71230246825357,1.2
2,3,1.2,1.5,8.34506698165515,9.764346344642332,5.784493622592648,1.2
2,3,1.2,2.0,6.201877008437376,6.017165340892869,6.655223203622707,1.2
10,0,0.4,1.0,9.99999878946367,9.999997943945523,10.000000761981434,0.4
10,0,0.4,1.5,7.35458831873647e-06,4.839661430681689e-06,1.9526583842900125e-05,0.4
10,0,0.4,2.0,1.814574721512134e-06,1.0752902827306068e-06,6.1520921645993155e-06,0.4
10,0,0.56,1.0,10.00000005317681,10.000000050432702,10.00000005957532,0.56
10,0,0.56,1.5,6.657610674917962,5.452956074730224,10.606855464429177,0.56
10,0,0.56,2.0,2.950601158621956e-06,1.63826651033847e-06,1.1644952924855209e-05,0.56
10,0,0.72,1.0,10.000000399897866,10.000000628306694,9.999999866918579,0.72
10,0,0.72,1.5,8.453008021294766,8.124976482140825,9.270845444223156,0.72
10,0,0.72,2.0,3.831762975915748,2.370219082698618,11.75318697540283,0.72
10,0,0.88,1.0,10.000000530705657,10.000000846320006,9.99999979423498,0.88
10,0,0.88,1.5,9.548196038641361,10.164855004806178,8.250906231325722,0.88
10,0,0.88,2.0,5.11522563149015,3.703975438952234,10.8640166164063,0.88
10,0,1.04,1.0,10.0000005803885,10.000000929124884,9.999999766627386,1.04
10,0,1.04,1.5,9.999982631020112,11.148743827679846,7.758961835161142,1.04
10,0,1.04,2.0,5.922531474760734,4.69037657251094,10.206415949434161,1.04
10,0,1.2,1.0,10.0000005803885,10.000000929124884,9.999999766627386,1.2
10,0,1.2,1.5,9.999982631020112,11.148743827679846,7.758961835161142,1.2
10,0,1.2,2.0,5.922531474760734,4.69037657251094,10.206415949434161,1.2
10,1,0.4,1.0,9.999999618599508,9.999999446388786,10.000000020424503,0.4
10,1,0.4,1.5,6.210300995421066,4.881252768637425,10.892706570048851,0.4
10,1,0.4,2.0,2.4658294363181496e-06,1.5164616115697366e-06,7.666611508307701e-06,0.4
10,1,0.56,1.0,10.000000408811829,10.000000763483044,9.999999581188709,0.56
10,1,0.56,1.5,8.62712033680934,8.423499180071639,9.121584055817126,0.56
10,1,0.56,2.0,4.477293336468329,3.007733410010257,11.328177253417923,0.56
10,1,0.72,1.0,10.000000626778453,10.000001126783724,9.999999460004865,0.72
10,1,0.72,1.5,9.887736632537624,10.894162131708116,7.886252657597584,0.72
10,1,0.72,2.0,6.073154731018268,4.888995010691924,10.07400358476804,0.72
10,1,0.88,1.0,10.000000712144482,10.000001269080073,9.99999941250848,0.88
10,1,0.88,1.5,9.99999926024137,11.148782397914934,7.758942529535864,0.88
10,1,0.88,2.0,7.164468315588449,6.496549110289662,9.00230095441958,0.88
