Step,AgentID,Type,Capital,Labor,Production,Price,Inventory,Budget,Productivity,Wage,Skills,Savings,Consumption
1,16,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,13,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,22,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,1,Worker,,0,,,,,,1.0,0.0995,199.04999999999998,7.999959999960282e-05
1,12,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,2,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,18,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,10,Worker,,0,,,,,,1.0,0.0995,199.05,0.00015999919999920564
1,23,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,3,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,8,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,31,Firm1,20.0,1,0.0,0.95,3.9999200004000004,18.99992200038,1.0,,,,
1,35,Firm2,5.0,1,0.0,0.95,0.0,7.799846000760001,1.0,,,,
1,14,Worker,,0,,,,,,1.0,0.0995,199.05,0.00023999879999880847
1,27,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,15,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,30,Firm1,20.0,1,0.0,0.95,3.9999200004000004,18.99992200038,1.0,,,,
1,20,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,28,Worker,,0,,,,,,1.0,0.0995,199.04999999999998,0.0003199983999984113
1,9,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,19,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,6,Worker,,0,,,,,,1.0,0.0995,199.05,1.0
1,4,Worker,,0,,,,,,1.0,0.0995,199.0503799981,0.999600002000002
1,34,Firm2,5.0,1,0.0,0.95,0.0,7.799846000760001,1.0,,,,
1,5,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,32,Firm2,5.0,1,0.0,0.95,0.0,7.799846000760001,1.0,,,,
1,36,Firm2,5.0,1,0.0,0.95,0.0,7.799846000760001,1.0,,,,
1,29,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,0,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,26,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,33,Firm2,5.0,1,0.0,0.95,0.0,7.799846000760001,1.0,,,,
1,17,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,21,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,7,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,24,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,11,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
1,25,Worker,,0,,,,,,1.0,0.0995,200.0,1.0
2,12,Worker,,0,,,,,,1.0,0.100495,199.05,1.0
2,0,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
2,5,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
2,14,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,26,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
2,20,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,34,Firm2,5.0,1,0.0,0.9025,0.0,7.799846000760001,1.0,,,,
2,3,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,30,Firm1,20.0,1,2.4564560522315806,0.9025,6.4562714900710425,18.999825732707116,1.0,,,,
2,22,Worker,,0,,,,,,1.0,0.100495,199.05,1.0
2,18,Worker,,0,,,,,,1.0,0.100495,199.05,1.0
2,1,Worker,,0,,,,,,1.0,0.100495,199.04999999999998,1.0
2,35,Firm2,5.0,1,0.0,0.9025,0.0,7.799846000760001,1.0,,,,
2,13,Worker,,0,,,,,,1.0,0.100495,199.05,1.0
2,6,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,8,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,33,Firm2,5.0,1,0.0,0.9025,0.0,7.799846000760001,1.0,,,,
2,27,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,28,Worker,,0,,,,,,1.0,0.09900250000000001,199.04999999999998,1.0
2,32,Firm2,5.0,1,0.0,0.9025,0.0,7.799846000760001,1.0,,,,
2,31,Firm1,20.0,1,2.4564560522315806,0.9025,6.4562714900710425,18.999825732707116,1.0,,,,
2,17,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
2,23,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,29,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
2,4,Worker,,0,,,,,,1.0,0.09900250000000001,199.0503799981,1.0
2,36,Firm2,5.0,1,0.0,0.9025,0.0,7.799846000760001,1.0,,,,
2,16,Worker,,0,,,,,,1.0,0.100495,199.05,1.0
2,10,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,19,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,9,Worker,,0,,,,,,1.0,0.09900250000000001,199.05,1.0
2,11,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
2,7,Worker,,0,,,,,,1.0,0.09900250000000001,200.0,1.0
